cod_municipio,municipio,cod_depto,poblacion_total,pob_urbana,pob_rural,pct_urbano,area_km2,densidad_hab_km2,ipm_municipal,priv_hacinamiento,priv_agua,priv_salud,priv_trabajo_informal,tasa_kg_hab_dia,kg_residuos_dia,ton_residuos_dia,pct_reciclable,kg_reciclables_dia,cobertura_recoleccion_pct,dist_centro_acopio_km,centros_acopio_existentes,acceso_vial,necesita_centro_acopio,potencial_reciclaje_kg_mes,label_clase
5044,ANZÁ,5,5777,3487,2290,60.4,378.6,15.26,47.1,6.1,22.1,8.5,87.1,0.514,2971.0,2.971,12.0,355.0,31.3,27.73,0,3,2,10650.0,Muy prioritario
5045,APARTADÓ,5,20651,13680,6971,66.2,709.3,29.12,28.0,14.0,7.2,16.3,74.6,0.655,13536.0,13.536,13.2,1793.0,46.5,14.67,0,2,1,53790.0,Prioritario
5051,ARBOLETES,5,800,458,342,57.3,147.7,5.42,59.1,13.9,43.2,16.1,90.7,0.521,417.0,0.417,11.2,47.0,36.2,26.74,0,3,1,1410.0,Prioritario
5055,ARGELIA,5,800,522,278,65.3,30.0,26.67,48.7,5.3,35.9,10.0,91.3,0.784,628.0,0.628,11.3,71.0,52.7,22.71,0,1,1,2130.0,Prioritario
5059,ARMENIA,5,4855,2551,2304,52.6,310.7,15.63,37.7,2.3,24.6,7.5,86.0,0.655,3182.0,3.182,16.0,509.0,35.5,18.92,0,1,1,15270.0,Prioritario
5079,BARBOSA,5,2157,1649,508,76.5,413.3,5.22,22.2,3.8,23.0,15.7,78.0,0.673,1451.0,1.451,16.5,239.0,63.8,11.07,0,3,0,7170.0,No prioritario
5086,BELMIRA,5,23520,15553,7967,66.1,397.5,59.17,40.8,7.8,42.5,14.9,81.4,0.697,16386.0,16.386,17.3,2827.0,52.0,18.95,0,3,1,84810.0,Prioritario
5088,BELLO,5,2605,1930,675,74.1,1078.1,2.42,14.2,5.6,5.6,19.2,72.7,0.735,1914.0,1.914,19.0,363.0,58.4,12.9,0,2,0,10890.0,No prioritario
5091,BETANIA,5,1051,671,380,63.8,67.7,15.53,53.6,6.7,43.0,14.2,90.6,0.56,589.0,0.589,16.7,98.0,43.2,23.46,0,3,1,2940.0,Prioritario
5093,BETULIA,5,186869,97058,89811,51.9,553.5,337.61,53.1,6.1,28.6,9.7,92.2,0.492,92026.0,92.026,16.7,15338.0,27.1,27.04,4,1,1,460140.0,Prioritario
5101,CIUDAD BOLÍVAR,5,8898,5495,3403,61.8,1023.5,8.69,40.4,6.4,20.6,12.9,83.7,0.603,5368.0,5.368,15.5,830.0,47.8,18.64,0,3,1,24900.0,Prioritario
5107,BRICEÑO,5,15086,7599,7487,50.4,30.0,502.87,55.4,8.9,39.5,8.9,85.7,0.62,9360.0,9.36,11.0,1027.0,29.5,25.91,0,1,2,30810.0,Muy prioritario
5113,BURITICÁ,5,1028,558,470,54.3,359.1,2.86,51.3,12.6,13.0,15.1,83.2,0.579,595.0,0.595,18.1,108.0,35.0,22.99,0,1,1,3240.0,Prioritario
5120,CÁCERES,5,5014,1824,3190,36.4,133.6,37.52,66.4,16.5,43.6,14.5,93.2,0.369,1852.0,1.852,11.4,211.0,10.0,30.68,0,1,2,6330.0,Muy prioritario
5125,CAICEDO,5,16312,6642,9670,40.7,221.9,73.51,54.6,6.9,23.9,7.6,93.3,0.449,7318.0,7.318,10.8,788.0,23.8,29.19,0,1,2,23640.0,Muy prioritario
5129,CALDAS,5,1682,1482,200,88.2,371.4,4.53,16.0,4.3,5.0,18.1,66.9,0.697,1172.0,1.172,17.8,208.0,85.0,13.48,0,2,0,6240.0,No prioritario
5134,CAMPAMENTO,5,26271,11203,15068,42.6,136.4,192.65,59.3,9.1,42.7,9.4,91.1,0.515,13517.0,13.517,11.0,1490.0,15.6,27.34,0,2,2,44700.0,Muy prioritario
5138,CAÑASGORDAS,5,4531,2260,2271,49.9,108.8,41.66,45.3,9.1,29.9,9.6,89.4,0.707,3205.0,3.205,13.2,424.0,29.6,22.49,0,2,1,12720.0,Prioritario
5142,CARACOLÍ,5,7902,3653,4249,46.2,254.9,31.0,35.9,4.7,20.6,11.3,84.7,0.424,3351.0,3.351,15.2,508.0,32.0,18.95,0,3,1,15240.0,Prioritario
5145,CARAMANTA,5,4522,2785,1737,61.6,66.4,68.13,30.5,4.8,21.2,7.7,85.7,0.637,2880.0,2.88,16.7,481.0,50.2,20.32,0,3,1,14430.0,Prioritario
5147,CAREPA,5,374782,201540,173242,53.8,66.5,5636.9,34.4,14.8,20.8,14.6,76.3,0.684,256437.0,256.437,12.2,31244.0,35.3,20.39,2,1,0,937320.0,No prioritario
5148,EL CARMEN DE VIBORAL,5,13039,11348,1691,87.0,552.9,23.58,18.5,4.9,5.3,14.9,69.1,0.88,11473.0,11.473,16.7,1921.0,58.6,10.21,0,3,0,57630.0,No prioritario
5150,CAROLINA,5,1990,1608,382,80.8,61.6,32.28,20.4,5.9,14.0,14.4,75.1,0.641,1276.0,1.276,20.8,265.0,73.4,12.45,0,3,0,7950.0,No prioritario
5154,CAUCASIA,5,58722,33996,24726,57.9,544.3,107.88,36.0,17.8,8.2,13.8,87.7,0.621,36460.0,36.46,16.8,6118.0,45.1,22.14,1,1,0,183540.0,No prioritario
5172,CHIGORODÓ,5,1483,1192,291,80.4,426.3,3.48,37.7,14.5,14.0,17.6,80.5,0.717,1064.0,1.064,23.8,253.0,52.3,16.09,0,3,0,7590.0,No prioritario
5190,CISNEROS,5,19456,14703,4753,75.6,30.8,630.73,28.8,5.4,34.5,12.6,82.7,0.668,12995.0,12.995,20.6,2677.0,56.3,14.29,0,3,1,80310.0,Prioritario
5197,COCORNÁ,5,800,453,347,56.7,108.5,7.37,42.9,5.8,31.6,9.6,85.8,0.569,455.0,0.455,18.6,85.0,46.0,26.46,0,1,1,2550.0,Prioritario
5206,CONCEPCIÓN,5,1223,552,671,45.2,1025.5,1.19,33.0,5.4,44.9,10.0,85.2,0.566,692.0,0.692,9.9,68.0,38.0,19.98,0,1,1,2040.0,Prioritario
5209,CONCORDIA,5,19041,14133,4908,74.2,75.4,252.59,48.5,5.4,32.5,10.6,88.2,0.444,8460.0,8.46,19.2,1626.0,56.9,23.04,0,2,1,48780.0,Prioritario
5212,COPACABANA,5,50475,33779,16696,66.9,140.2,360.15,11.6,3.7,4.2,16.2,70.5,0.672,33932.0,33.932,16.0,5440.0,55.9,8.56,2,1,0,163200.0,No prioritario
5234,DABEIBA,5,18187,6463,11724,35.5,426.0,42.69,60.5,18.2,48.0,15.5,92.1,0.502,9134.0,9.134,11.4,1041.0,14.2,28.71,0,1,2,31230.0,Muy prioritario
5237,DONMATÍAS,5,10849,8826,2023,81.4,626.4,17.32,19.7,4.8,13.0,14.8,80.2,0.658,7135.0,7.135,18.1,1294.0,66.7,11.02,0,2,0,38820.0,No prioritario
5240,EBÉJICO,5,7769,6297,1472,81.1,180.9,42.94,39.1,3.8,9.4,11.4,85.9,0.838,6510.0,6.51,20.4,1331.0,66.9,19.78,0,3,1,39930.0,Prioritario
5250,EL BAGRE,5,933,595,338,63.9,119.5,7.81,53.7,19.6,18.8,14.8,91.7,0.551,514.0,0.514,17.4,89.0,37.0,24.91,0,3,1,2670.0,Prioritario
5264,ENTRERRÍOS,5,3656,2765,891,75.7,1348.6,2.71,23.1,3.7,14.8,15.1,68.5,0.62,2268.0,2.268,14.4,327.0,57.1,14.21,0,3,0,9810.0,No prioritario
5266,ENVIGADO,5,5830,5061,769,86.8,1971.8,2.96,4.9,1.8,0.9,17.0,62.4,0.857,4994.0,4.994,20.4,1019.0,81.7,8.54,0,3,0,30570.0,No prioritario
5282,FREDONIA,5,89573,65269,24304,72.9,792.1,113.09,31.6,4.3,16.5,20.5,78.4,0.575,51496.0,51.496,14.9,7659.0,55.9,14.5,0,2,1,229770.0,Prioritario
5284,FRONTINO,5,24797,14950,9847,60.3,271.1,91.48,51.3,14.3,27.7,12.9,90.7,0.547,13568.0,13.568,16.2,2195.0,45.8,24.31,0,1,2,65850.0,Muy prioritario
5306,GIRALDO,5,800,537,263,67.2,92.8,8.62,33.4,8.1,8.4,10.5,84.7,0.607,486.0,0.486,15.3,74.0,47.1,16.57,0,3,0,2220.0,No prioritario
5308,GIRARDOTA,5,23941,18552,5389,77.5,90.3,265.04,13.9,3.8,9.0,13.4,69.4,0.727,17411.0,17.411,16.6,2889.0,65.3,10.17,0,3,0,86670.0,No prioritario
5310,GÓMEZ PLATA,5,6679,4277,2402,64.0,458.1,14.58,34.1,5.3,26.0,10.9,81.1,0.623,4160.0,4.16,18.2,757.0,42.8,16.3,0,3,1,22710.0,Prioritario
5313,GRANADA,5,3950,2327,1623,58.9,404.3,9.77,33.4,8.6,13.7,8.4,84.4,0.482,1905.0,1.905,12.3,234.0,43.1,18.48,0,1,1,7020.0,Prioritario
5315,GUADALUPE,5,40175,23339,16836,58.1,1315.4,30.54,41.1,7.0,35.8,9.1,80.2,0.54,21687.0,21.687,21.1,4586.0,32.6,24.83,0,1,2,137580.0,Muy prioritario
5318,GUARNE,5,85459,52349,33110,61.3,534.1,160.01,17.0,3.6,10.3,16.3,72.6,0.546,46698.0,46.698,10.2,4746.0,47.6,10.36,2,3,0,142380.0,No prioritario
5321,GUATAPÉ,5,71417,55257,16160,77.4,40.3,1772.22,11.4,3.2,2.7,14.8,77.8,0.653,46658.0,46.658,15.4,7206.0,59.0,12.95,2,3,0,216180.0,No prioritario
5347,HELICONIA,5,2949,1609,1340,54.6,864.7,3.41,37.5,4.9,8.8,13.7,80.4,0.602,1777.0,1.777,16.1,286.0,41.4,32.23,0,1,2,8580.0,Muy prioritario
5353,HISPANIA,5,7657,4137,3520,54.0,73.9,103.65,36.9,5.3,23.8,14.6,79.1,0.6,4591.0,4.591,16.7,765.0,41.1,17.39,0,3,1,22950.0,Prioritario
5360,ITAGÜÍ,5,24252,19377,4875,79.9,154.4,157.12,10.9,4.4,1.1,19.2,69.0,0.528,12793.0,12.793,17.2,2199.0,60.0,6.16,0,2,0,65970.0,No prioritario
5361,ITUANGO,5,77341,47623,29718,61.6,330.4,234.1,57.6,10.0,38.0,10.6,89.3,0.681,52702.0,52.702,15.5,8161.0,44.8,33.97,1,3,1,244830.0,Prioritario
5364,JARDÍN,5,5639,4243,1396,75.2,2683.3,2.1,28.5,4.1,19.8,12.6,85.8,0.671,3785.0,3.785,18.3,691.0,71.7,22.17,0,3,1,20730.0,Prioritario
5368,JERICÓ,5,9564,5447,4117,57.0,10218.0,0.94,25.8,4.1,14.1,14.1,80.0,0.689,6586.0,6.586,14.5,955.0,43.8,12.78,0,1,0,28650.0,No prioritario
5376,LA CEJA,5,1823,1279,544,70.2,506.8,3.6,11.5,4.2,5.9,13.8,65.3,0.666,1215.0,1.215,20.7,251.0,56.5,6.14,0,3,0,7530.0,No prioritario
5380,LA ESTRELLA,5,1551,1349,202,87.0,196.4,7.9,9.2,4.1,0.8,16.9,65.5,0.786,1219.0,1.219,20.7,253.0,89.7,4.86,0,3,0,7590.0,No prioritario
5390,LA PINTADA,5,57673,33692,23981,58.4,464.7,124.11,31.2,14.7,3.8,16.4,73.1,0.621,35815.0,35.815,18.0,6433.0,36.6,31.13,2,2,0,192990.0,No prioritario
5400,LA UNIÓN,5,153465,106509,46956,69.4,709.9,216.16,23.0,5.3,14.1,12.4,78.9,0.735,112844.0,112.844,13.5,15281.0,55.7,11.33,2,3,0,458430.0,No prioritario
5411,LIBORINA,5,11735,7442,4293,63.4,166.5,70.47,43.3,6.1,12.8,8.1,89.6,0.645,7574.0,7.574,15.6,1182.0,45.0,21.24,0,2,1,35460.0,Prioritario
5425,MACEO,5,81337,45266,36071,55.7,2109.6,38.56,36.0,6.3,21.1,10.5,84.3,0.565,45937.0,45.937,14.2,6506.0,46.0,22.28,0,2,1,195180.0,Prioritario
5440,MARINILLA,5,25615,19621,5994,76.6,322.5,79.43,15.4,5.6,1.1,15.4,74.5,0.838,21471.0,21.471,14.1,3037.0,66.1,7.39,0,3,0,91110.0,No prioritario
5467,MONTEBELLO,5,4183,2117,2066,50.6,444.7,9.41,39.5,5.1,34.1,10.7,86.3,0.624,2609.0,2.609,15.6,408.0,31.2,21.05,0,1,1,12240.0,Prioritario
5475,MURINDÓ,5,25604,8011,17593,31.3,544.1,47.06,81.5,24.7,93.9,22.2,89.0,0.521,13341.0,13.341,11.0,1470.0,10.0,37.01,0,1,2,44100.0,Muy prioritario
5480,MUTATÁ,5,212876,112565,100311,52.9,405.8,524.56,57.8,16.6,39.8,15.9,89.2,0.459,97797.0,97.797,16.8,16385.0,28.5,31.42,2,3,1,491550.0,Prioritario
5483,NARIÑO,5,12525,5157,7368,41.2,669.6,18.7,51.8,4.9,50.5,7.5,90.9,0.412,5156.0,5.156,10.4,537.0,16.5,24.66,0,3,2,16110.0,Muy prioritario
5490,NECOCLÍ,5,223319,113677,109642,50.9,116.7,1914.21,62.7,13.3,64.0,14.5,91.5,0.577,128862.0,128.862,19.7,25447.0,27.2,31.02,1,1,2,763410.0,Muy prioritario
5495,NECHÍ,5,800,383,417,47.9,125.2,6.39,61.5,17.8,18.0,13.0,93.3,0.553,443.0,0.443,11.6,51.0,21.9,30.57,0,1,2,1530.0,Muy prioritario
5501,OLAYA,5,58654,40694,17960,69.4,65.4,897.48,33.4,5.1,5.3,15.1,87.0,0.578,33925.0,33.925,17.1,5800.0,45.0,15.64,1,3,0,174000.0,No prioritario
5541,PEÑOL,5,15625,11686,3939,74.8,414.6,37.68,20.0,4.9,7.0,11.6,83.3,0.66,10319.0,10.319,19.4,1997.0,67.6,9.37,0,3,0,59910.0,No prioritario
5543,PEQUE,5,7799,4976,2823,63.8,623.1,12.52,53.5,13.7,16.3,10.3,90.6,0.732,5712.0,5.712,14.2,809.0,38.9,24.79,0,3,2,24270.0,Muy prioritario
5576,PUEBLORRICO,5,15759,9231,6528,58.6,423.8,37.18,45.7,5.2,36.7,8.7,89.3,0.64,10085.0,10.085,17.9,1807.0,32.7,21.37,0,1,2,54210.0,Muy prioritario
5579,PUERTO BERRÍO,5,800,498,302,62.3,1825.1,0.44,32.1,12.3,4.9,14.7,79.2,0.508,406.0,0.406,12.0,49.0,45.6,19.69,0,1,0,1470.0,No prioritario
5585,PUERTO NARE,5,8996,5948,3048,66.1,243.1,37.01,33.1,6.1,11.7,14.1,81.9,0.606,5448.0,5.448,20.5,1115.0,49.9,19.77,0,3,1,33450.0,Prioritario
5591,PUERTO TRIUNFO,5,25407,18233,7174,71.8,545.9,46.54,29.3,8.3,3.6,16.2,79.0,0.573,14550.0,14.55,16.7,2433.0,47.1,14.96,0,3,1,72990.0,Prioritario
5604,REMEDIOS,5,191034,114870,76164,60.1,66.0,2893.57,42.1,9.5,19.0,12.0,80.7,0.56,106885.0,106.885,13.7,14669.0,43.1,21.63,4,2,0,440070.0,No prioritario
5607,RETIRO,5,5255,4114,1141,78.3,153.8,34.17,11.7,2.9,11.3,13.8,64.9,0.63,3311.0,3.311,16.4,544.0,61.7,8.55,0,2,0,16320.0,No prioritario
5615,RIONEGRO,5,3117,2296,821,73.7,563.8,5.53,9.5,3.9,0.5,14.4,68.1,0.607,1891.0,1.891,19.3,365.0,72.0,10.38,0,3,0,10950.0,No prioritario
5628,SABANALARGA,5,5414,2599,2815,48.0,677.8,7.99,52.8,13.5,24.0,11.9,91.7,0.442,2391.0,2.391,12.5,300.0,30.0,25.38,0,3,2,9000.0,Muy prioritario
5631,SABANETA,5,69405,49332,20073,71.1,172.0,403.62,4.5,1.4,0.2,15.3,58.7,0.624,43316.0,43.316,14.4,6220.0,60.6,4.21,1,2,0,186600.0,No prioritario
5642,SALGAR,5,24143,16701,7442,69.2,224.5,107.52,49.7,4.7,43.6,12.2,87.5,0.582,14048.0,14.048,15.8,2213.0,43.6,22.34,0,3,2,66390.0,Muy prioritario
5647,SAN ANDRÉS DE CUERQUÍA,5,5148,2365,2783,45.9,39.6,130.04,48.5,8.9,44.4,12.2,83.9,0.3,1544.0,1.544,10.6,163.0,26.3,24.41,0,1,2,4890.0,Muy prioritario
5649,SAN CARLOS,5,33653,20581,13072,61.2,159.4,211.09,30.5,4.2,11.2,11.6,86.1,0.759,25538.0,25.538,21.1,5383.0,49.0,15.93,0,2,1,161490.0,Prioritario
5652,SAN FRANCISCO,5,15910,8179,7731,51.4,712.3,22.34,46.4,7.6,26.8,8.3,85.3,0.643,10226.0,10.226,12.9,1323.0,32.2,22.73,0,2,2,39690.0,Muy prioritario
5656,SAN JERÓNIMO,5,76386,56418,19968,73.9,488.0,156.54,30.5,7.3,15.9,15.5,82.0,0.615,47003.0,47.003,19.4,9110.0,56.2,13.79,0,3,1,273300.0,Prioritario
5658,SAN JOSÉ DE LA MONTAÑA,5,3775,2349,1426,62.2,446.2,8.46,34.0,6.7,20.9,12.5,77.8,0.6,2267.0,2.267,16.4,371.0,46.1,19.29,0,2,1,11130.0,Prioritario
5659,SAN JUAN DE URABÁ,5,7407,4319,3088,58.3,259.8,28.52,61.1,16.0,60.4,12.8,92.0,0.49,3626.0,3.626,12.4,449.0,31.1,27.25,0,2,2,13470.0,Muy prioritario
5660,SAN LUIS,5,6595,3968,2627,60.2,246.8,26.72,32.4,6.6,27.8,9.7,82.1,0.726,4790.0,4.79,15.5,742.0,42.7,15.61,0,1,1,22260.0,Prioritario
5664,SAN PEDRO DE LOS MILAGROS,5,958,723,235,75.5,110.8,8.65,19.5,5.3,12.4,17.0,75.0,0.804,770.0,0.77,19.4,149.0,51.7,10.62,0,2,0,4470.0,No prioritario
5665,SAN PEDRO DE URABÁ,5,22765,9319,13446,40.9,566.0,40.22,62.3,17.8,44.8,14.0,92.3,0.526,11981.0,11.981,13.0,1561.0,23.0,28.65,0,3,2,46830.0,Muy prioritario
5667,SAN RAFAEL,5,21373,17115,4258,80.1,405.5,52.71,36.8,5.7,31.7,12.7,83.1,0.752,16077.0,16.077,21.1,3390.0,62.5,18.35,0,2,1,101700.0,Prioritario
5670,SAN ROQUE,5,13483,6878,6605,51.0,441.6,30.53,40.8,5.9,30.3,11.8,87.8,0.568,7660.0,7.66,17.7,1353.0,29.8,20.16,0,3,1,40590.0,Prioritario
5674,SAN VICENTE FERRER,5,8758,6200,2558,70.8,130.2,67.29,27.8,5.0,13.9,11.0,85.7,0.526,4609.0,4.609,19.3,891.0,64.9,14.37,0,3,0,26730.0,No prioritario
5679,SANTA BÁRBARA,5,1045,765,280,73.2,30.0,34.83,28.1,4.5,13.0,12.2,81.8,0.61,637.0,0.637,15.4,98.0,57.9,14.89,0,2,0,2940.0,No prioritario
5686,SANTA ROSA DE OSOS,5,6265,4371,1894,69.8,912.9,6.86,30.9,5.7,26.3,14.9,77.9,0.64,4007.0,4.007,13.2,530.0,48.3,14.55,0,2,0,15900.0,No prioritario
5690,SANTO DOMINGO,5,7209,4225,2984,58.6,137.7,52.34,41.5,5.1,45.2,10.3,85.4,0.548,3951.0,3.951,13.5,534.0,44.6,19.18,0,2,1,16020.0,Prioritario
5697,EL SANTUARIO,5,3152,2230,922,70.8,86.9,36.27,22.0,7.2,5.9,13.8,82.9,0.616,1940.0,1.94,17.2,333.0,59.1,16.63,0,3,0,9990.0,No prioritario
5736,SEGOVIA,5,9993,5962,4031,59.7,562.4,17.77,42.8,13.2,23.4,16.0,78.9,0.581,5810.0,5.81,17.1,994.0,42.8,20.84,0,2,1,29820.0,Prioritario
5756,SONSÓN,5,27647,16887,10760,61.1,152.9,180.85,37.9,5.1,32.0,13.5,85.9,0.588,16253.0,16.253,9.1,1478.0,41.5,18.7,0,3,1,44340.0,Prioritario
5761,SOPETRÁN,5,398369,300732,97637,75.5,873.0,456.33,28.7,7.1,9.2,15.2,82.3,0.656,261388.0,261.388,17.0,44501.0,61.6,12.81,5,3,0,1335030.0,No prioritario
5789,TÁMESIS,5,18292,14766,3526,80.7,513.1,35.65,36.6,4.2,16.5,14.8,82.9,0.588,10757.0,10.757,18.0,1941.0,60.4,17.67,0,3,1,58230.0,Prioritario
5790,TARAZÁ,5,21238,10287,10951,48.4,555.7,38.22,53.5,14.4,18.7,11.2,91.8,0.486,10330.0,10.33,13.5,1396.0,30.3,26.4,0,1,2,41880.0,Muy prioritario
5792,TARSO,5,11684,5664,6020,48.5,47.5,245.95,42.6,7.6,35.3,13.9,75.5,0.441,5155.0,5.155,18.2,939.0,21.3,22.07,0,1,2,28170.0,Muy prioritario
5809,TITIRIBÍ,5,800,528,272,66.1,1047.7,0.76,30.3,3.8,15.0,11.6,74.3,0.693,554.0,0.554,17.4,96.0,48.2,17.5,0,3,0,2880.0,No prioritario
5819,TOLEDO,5,12737,9366,3371,73.5,334.8,38.04,53.5,11.1,25.8,10.9,86.2,0.476,6059.0,6.059,20.8,1259.0,58.7,23.31,0,3,1,37770.0,Prioritario
5837,TURBO,5,14889,7240,7649,48.6,157.1,94.78,49.9,12.7,36.8,16.8,87.6,0.637,9481.0,9.481,13.7,1300.0,25.0,23.4,0,3,2,39000.0,Muy prioritario
5842,URAMITA,5,1125610,728865,396745,64.8,290.6,3872.94,55.6,9.1,42.6,15.2,92.2,0.72,810349.0,810.349,18.8,152246.0,38.6,29.0,19,2,1,4567380.0,Prioritario
5847,URRAO,5,9449,6686,2763,70.8,30.0,314.97,46.1,9.3,27.8,13.5,89.4,0.609,5753.0,5.753,21.5,1236.0,47.6,28.72,0,3,2,37080.0,Muy prioritario
5854,VALDIVIA,5,22989,10343,12646,45.0,399.6,57.53,59.3,7.3,45.9,10.4,91.5,0.322,7396.0,7.396,17.9,1326.0,16.6,26.91,0,3,2,39780.0,Muy prioritario
5856,VALPARAÍSO,5,12550,9288,3262,74.0,71.1,176.39,25.9,4.4,11.8,11.9,76.6,0.617,7745.0,7.745,13.6,1055.0,47.8,13.72,0,3,0,31650.0,No prioritario
5858,VEGACHÍ,5,1630,1196,434,73.4,48.3,33.77,41.0,9.1,16.5,11.8,85.0,0.639,1041.0,1.041,16.1,167.0,52.6,18.45,0,3,1,5010.0,Prioritario
5861,VENECIA,5,104514,69488,35026,66.5,39.4,2654.22,25.8,3.4,7.8,15.2,73.5,0.535,55925.0,55.925,15.1,8452.0,52.8,12.18,3,3,0,253560.0,No prioritario
5873,VIGÍA DEL FUERTE,5,51713,19501,32212,37.7,930.0,55.6,76.1,12.0,89.3,18.4,93.6,0.46,23769.0,23.769,14.7,3503.0,10.8,34.74,2,1,2,105090.0,Muy prioritario
5885,YALÍ,5,55484,29931,25553,53.9,115.0,482.49,44.0,6.1,29.7,9.1,87.1,0.688,38184.0,38.184,17.0,6474.0,34.6,20.37,2,3,0,194220.0,No prioritario
5887,YARUMAL,5,2599,1471,1128,56.6,1541.4,1.69,33.8,6.6,15.9,13.4,84.3,0.63,1636.0,1.636,12.6,207.0,41.0,19.4,0,1,1,6210.0,Prioritario
5890,YOLOMBÓ,5,166879,88121,78758,52.8,128.6,1297.23,45.0,6.5,42.5,12.2,87.7,0.487,81313.0,81.313,15.0,12184.0,39.1,22.65,4,2,0,365520.0,No prioritario
5893,YONDÓ,5,1071,507,564,47.4,31.5,33.96,46.3,11.9,11.4,23.1,81.9,0.412,441.0,0.441,8.2,36.0,27.8,21.61,0,1,1,1080.0,Prioritario
5895,ZARAGOZA,5,38420,19391,19029,50.5,64.1,599.54,58.0,15.0,30.5,13.6,91.1,0.526,20199.0,20.199,18.9,3812.0,25.2,25.7,1,3,1,114360.0,Prioritario
8001,BARRANQUILLA,8,688878,471194,217684,68.4,1078.1,638.96,17.4,13.5,1.0,20.1,84.6,0.607,417821.0,417.821,14.8,61850.0,54.9,13.49,19,1,0,1855500.0,No prioritario
8078,BARANOA,8,2246,1499,747,66.8,202.9,11.07,33.5,19.3,8.9,21.5,87.6,0.657,1475.0,1.475,16.3,241.0,52.9,15.64,0,3,0,7230.0,No prioritario
8137,CAMPO DE LA CRUZ,8,4820,1628,3192,33.8,126.7,38.03,64.6,25.7,14.6,17.4,95.3,0.442,2132.0,2.132,12.0,255.0,18.1,31.95,0,1,2,7650.0,Muy prioritario
8141,CANDELARIA,8,15984,9022,6962,56.4,296.5,53.91,52.0,27.9,10.9,13.0,94.0,0.617,9857.0,9.857,18.6,1832.0,32.1,24.21,0,3,2,54960.0,Muy prioritario
8296,GALAPA,8,5397,4176,1221,77.4,446.8,12.08,23.8,17.8,3.3,17.4,85.0,0.814,4395.0,4.395,8.7,384.0,63.0,13.29,0,3,0,11520.0,No prioritario
8372,JUAN DE ACOSTA,8,819,385,434,47.0,935.3,0.88,36.7,15.8,7.0,12.7,91.2,0.603,494.0,0.494,14.2,70.0,33.0,18.47,0,2,1,2100.0,Prioritario
8421,LURUACO,8,15114,8275,6839,54.8,1391.6,10.86,55.4,19.8,41.8,20.5,93.2,0.565,8542.0,8.542,14.7,1252.0,27.7,24.7,0,3,2,37560.0,Muy prioritario
8433,MALAMBO,8,1974,1516,458,76.8,158.9,12.42,30.0,16.7,6.2,17.6,88.5,0.643,1269.0,1.269,15.8,201.0,60.2,13.92,0,3,0,6030.0,No prioritario
